EMPRESA,LINHA,NOME,ROTA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,LARGO DA FEIRA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA SERRA DA JUREMA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA SERRA DOS CARAJÁS
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA RIO GRAMAME
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,AV. DOS XAVANTES
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,AV. PREFEITO OMAR O´ GRADY
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,AV. PRUDENTE DE MORAIS
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA ALBERTO SILVA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,AV. SENADOR SALGADO FILHO
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,AV LIMA E SILVA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,AV. PRUDENTE DE MORAIS
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,AV. PREFEITO OMAR O´ GRADY
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,AV. DOS XAVANTES
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA RIO TATUAPÉ
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA TAMANDUATEÍ
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA SERRA DA JUREMA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,LARGO DA FEIRA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA MONTE REI
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA MIRAMANGUE
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA. ENG.JOÃO HÉLIO
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA AGRESTINA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA MONTE REI
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA SÃO PATRICK
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA LEÃO F. DE QUEIROZ
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA MANOEL BANDEIRA DE MOURA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA PAULO ALVES DE OLIVEIRA
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA RONALDO PEREIRA SHALON
TRANSPORTES CIDADE DO NATAL,33B,PLANALTO/LAGOA SECA/VIA MIDWAY MALL ,RUA DR. NELSON BENÍCIO MATA (Terminal)
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA. ENG.JOÃO HÉLIO (Terminal)
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA MIRAMANGUE
TRANSPORTES CIDADE DO NATAL,33,PLANALTO-PRAIA DO MEIO-MÃE LUIZA/VIA BR 101,RUA MONTE REI
